3406494,85
768972,149
131457,196
9424607,7
9490172,205
2619674,136
4328452,220
916585,130
4128705,14
443477,178
5018023,143
5409184,217
277963,126
4829799,213
5822345,13
6155487,156
8979117,88
6295462,30
1252714,144
1159609,107
4255221,237
6450541,1
433691,124
1256824,64
7909741,283
1103249,27
3163885,209
4216739,222
2607584,64
4672508,98
3284405,273
1840407,140
9906545,196
7353407,253
7238909,51
8080244,110
7532928,228
3978666,141
2346575,259
6069582,35
1362920,185
1362920,167
1362920,25
1362920,67
1362920,210
1362920,62
1362920,20
1362920,72
2346575,158
2346575,266
2346575,69
2346575,219
2346575,246
2346575,223
3406494,215
768972,121
131457,74
9424607,60
9490172,17
2619674,249
4328452,33
916585,153
4128705,173
443477,93
5018023,160
5409184,29
277963,275
4829799,270
5822345,75
6155487,154
8979117,122
6295462,120
1252714,223
3406494,233
768972,115
131457,36
9424607,266
9490172,24
2619674,50
4328452,149
916585,210
4128705,27
443477,197
5018023,86
5409184,184
277963,228
4829799,253
5822345,109
6155487,243
8979117,251
6295462,26
1252714,187
3406494,282
768972,179
131457,222
9424607,109
9490172,3
2619674,42
4328452,249
916585,36
